Karyotype;Label;Average
2Lt;Wing_F_2Lt_1_1_MMStack_Pos0.ome.tif;0.9915
2Lt;Wing_F_2Lt_1_2_MMStack_Pos0.ome.tif;1.0035
2Lt;Wing_F_2Lt_2_1_MMStack_Pos0.ome.tif;1.0255
2Lt;Wing_F_2Lt_2_2_MMStack_Pos0.ome.tif;0.9565
2Lt;Wing_F_2Lt_4_1_MMStack_Pos0.ome.tif;0.9645
2Lt;Wing_F_2Lt_4_2_MMStack_Pos0.ome.tif;0.9815
2Lt;Wing_F_2Lt_5_1_MMStack_Pos0.ome.tif;0.9170
2Lt;Wing_F_2Lt_5_2_MMStack_Pos0.ome.tif;0.9485
2Lt;Wing_F_2Lt_6_1_MMStack_Pos0.ome.tif;0.9545
2Lt;Wing_F_2Lt_6_2_MMStack_Pos0.ome.tif;1.0125
2Lt;Wing_F_2Lt_7_1_MMStack_Pos0.ome.tif;0.9630
2Lt;Wing_F_2Lt_7_2_MMStack_Pos0.ome.tif;1.0165
2Lt;Wing_F_2Lt_8_1_MMStack_Pos0.ome.tif;1.0040
2Lt;Wing_F_2Lt_8_2_MMStack_Pos0.ome.tif;0.9615
2Lt;Wing_F_2Lt_12_1_MMStack_Pos0.ome.tif;0.9425
2Lt;Wing_F_2Lt_12_2_MMStack_Pos0.ome.tif;1.0640
2Lt;Wing_F_2Lt_15_1_MMStack_Pos0.ome.tif;1.0080
2Lt;Wing_F_2Lt_15_2_MMStack_Pos0.ome.tif;0.9265
2Lt;Wing_F_2Lt_16_1_MMStack_Pos0.ome.tif;0.9545
2Lt;Wing_F_2Lt_16_2_MMStack_Pos0.ome.tif;1.0525
2Lt;Wing_F_2Lt_18_1_MMStack_Pos0.ome.tif;0.9685
2Lt;Wing_F_2Lt_18_2_MMStack_Pos0.ome.tif;0.9410
2Lt_HET_1;Wing_F_2LtHET1_1_1_MMStack_Pos0.ome.tif;0.9850
2Lt_HET_1;Wing_F_2LtHET1_1_2_MMStack_Pos0.ome.tif;0.8795
2Lt_HET_1;Wing_F_2LtHET1_2_1_MMStack_Pos0.ome.tif;0.9840
2Lt_HET_1;Wing_F_2LtHET1_2_2_MMStack_Pos0.ome.tif;0.9560
2Lt_HET_1;Wing_F_2LtHET1_4_1_MMStack_Pos0.ome.tif;0.9445
2Lt_HET_1;Wing_F_2LtHET1_4_2_MMStack_Pos0.ome.tif;1.0260
2Lt_HET_1;Wing_F_2LtHET1_5_1_MMStack_Pos0.ome.tif;1.0005
2Lt_HET_1;Wing_F_2LtHET1_5_2_MMStack_Pos0.ome.tif;1.0570
2Lt_HET_1;Wing_F_2LtHET1_6_1_MMStack_Pos0.ome.tif;1.0610
2Lt_HET_1;Wing_F_2LtHET1_6_2_MMStack_Pos0.ome.tif;1.0205
2Lt_HET_1;Wing_F_2LtHET1_7_1_MMStack_Pos0.ome.tif;0.9690
2Lt_HET_1;Wing_F_2LtHET1_7_2_MMStack_Pos0.ome.tif;0.9605
2Lt_HET_1;Wing_F_2LtHET1_8_1_MMStack_Pos0.ome.tif;1.0360
2Lt_HET_1;Wing_F_2LtHET1_8_2_MMStack_Pos0.ome.tif;0.9085
2Lt_HET_1;Wing_F_2LtHET1_12_1_MMStack_Pos0.ome.tif;1.0225
2Lt_HET_1;Wing_F_2LtHET1_12_2_MMStack_Pos0.ome.tif;0.9860
2Lt_HET_1;Wing_F_2LtHET1_15_1_MMStack_Pos0.ome.tif;0.9625
2Lt_HET_1;Wing_F_2LtHET1_15_2_MMStack_Pos0.ome.tif;0.9930
2Lt_HET_1;Wing_F_2LtHET1_16_1_MMStack_Pos0.ome.tif;1.0060
2Lt_HET_1;Wing_F_2LtHET1_16_2_MMStack_Pos0.ome.tif;1.0685
2Lt_HET_1;Wing_F_2LtHET1_18_1_MMStack_Pos0.ome.tif;1.0485
2Lt_HET_1;Wing_F_2LtHET1_18_2_MMStack_Pos0.ome.tif;1.0195
2Lt_HET_2;Wing_F_2LtHET2_1_1_MMStack_Pos0.ome.tif;0.9235
2Lt_HET_2;Wing_F_2LtHET2_1_2_MMStack_Pos0.ome.tif;0.9475
2Lt_HET_2;Wing_F_2LtHET2_2_1_MMStack_Pos0.ome.tif;0.8945
2Lt_HET_2;Wing_F_2LtHET2_2_2_MMStack_Pos0.ome.tif;0.9790
2Lt_HET_2;Wing_F_2LtHET2_4_1_MMStack_Pos0.ome.tif;1.0985
2Lt_HET_2;Wing_F_2LtHET2_4_2_MMStack_Pos0.ome.tif;0.9875
2Lt_HET_2;Wing_F_2LtHET2_5_1_MMStack_Pos0.ome.tif;0.9205
2Lt_HET_2;Wing_F_2LtHET2_5_2_MMStack_Pos0.ome.tif;1.0340
2Lt_HET_2;Wing_F_2LtHET2_6_1_MMStack_Pos0.ome.tif;1.0305
2Lt_HET_2;Wing_F_2LtHET2_6_2_MMStack_Pos0.ome.tif;1.0470
2Lt_HET_2;Wing_F_2LtHET2_7_1_MMStack_Pos0.ome.tif;0.9300
2Lt_HET_2;Wing_F_2LtHET2_7_2_MMStack_Pos0.ome.tif;0.9860
2Lt_HET_2;Wing_F_2LtHET2_8_1_MMStack_Pos0.ome.tif;0.9730
2Lt_HET_2;Wing_F_2LtHET2_8_2_MMStack_Pos0.ome.tif;0.9565
2Lt_HET_2;Wing_F_2LtHET2_12_1_MMStack_Pos0.ome.tif;1.0440
2Lt_HET_2;Wing_F_2LtHET2_12_2_MMStack_Pos0.ome.tif;0.9635
2Lt_HET_2;Wing_F_2LtHET2_15_1_MMStack_Pos0.ome.tif;0.9870
2Lt_HET_2;Wing_F_2LtHET2_15_2_MMStack_Pos0.ome.tif;0.8885
2Lt_HET_2;Wing_F_2LtHET2_16_1_MMStack_Pos0.ome.tif;1.0775
2Lt_HET_2;Wing_F_2LtHET2_16_2_MMStack_Pos0.ome.tif;0.9800
2Lt_HET_2;Wing_F_2LtHET2_18_1_MMStack_Pos0.ome.tif;0.9005
2Lt_HET_2;Wing_F_2LtHET2_18_2_MMStack_Pos0.ome.tif;1.0055
3RK;Wing_F_3RK_1_1_MMStack_Pos0.ome.tif;0.9605
3RK;Wing_F_3RK_1_2_MMStack_Pos0.ome.tif;1.0370
3RK;Wing_F_3RK_2_1_MMStack_Pos0.ome.tif;0.9630
3RK;Wing_F_3RK_2_2_MMStack_Pos0.ome.tif;0.9945
3RK;Wing_F_3RK_4_1_MMStack_Pos0.ome.tif;1.1235
3RK;Wing_F_3RK_4_2_MMStack_Pos0.ome.tif;0.9390
3RK;Wing_F_3RK_5_1_MMStack_Pos0.ome.tif;1.0955
3RK;Wing_F_3RK_5_2_MMStack_Pos0.ome.tif;1.0105
3RK;Wing_F_3RK_6_1_MMStack_Pos0.ome.tif;1.0360
3RK;Wing_F_3RK_6_2_MMStack_Pos0.ome.tif;1.0885
3RK;Wing_F_3RK_8_1_MMStack_Pos0.ome.tif;1.0290
