Karyotype;Label;Average
2Lt;Leg_M_2Lt_1_1_MMStack_Pos0.ome.tif;0.457
2Lt;Leg_M_2Lt_1_2_MMStack_Pos0.ome.tif;0.4575
2Lt;Leg_M_2Lt_2_1_MMStack_Pos0.ome.tif;0.4555
2Lt;Leg_M_2Lt_2_2_MMStack_Pos0.ome.tif;0.4545
2Lt;Leg_M_2Lt_3_1_MMStack_Pos0.ome.tif;0.459
2Lt;Leg_M_2Lt_3_2_MMStack_Pos0.ome.tif;0.4575
2Lt;Leg_M_2Lt_4_1_MMStack_Pos0.ome.tif;0.453
2Lt;Leg_M_2Lt_4_2_MMStack_Pos0.ome.tif;0.4485
2Lt;Leg_M_2Lt_7_1_MMStack_Pos0.ome.tif;0.453
2Lt;Leg_M_2Lt_7_2_MMStack_Pos0.ome.tif;0.459
2Lt;Leg_M_2Lt_9_1_MMStack_Pos0.ome.tif;0.471
2Lt;Leg_M_2Lt_9_2_MMStack_Pos0.ome.tif;0.4595
2Lt;Leg_M_2Lt_12_1_MMStack_Pos0.ome.tif;0.4705
2Lt;Leg_M_2Lt_12_2_MMStack_Pos0.ome.tif;0.4625
2Lt;Leg_M_2Lt_13_1_MMStack_Pos0.ome.tif;0.4595
2Lt;Leg_M_2Lt_13_2_MMStack_Pos0.ome.tif;0.4745
2Lt;Leg_M_2Lt_14_1_MMStack_Pos0.ome.tif;0.4765
2Lt;Leg_M_2Lt_14_2_MMStack_Pos0.ome.tif;0.484
2Lt;Leg_M_2Lt_19_1_MMStack_Pos0.ome.tif;0.4615
2Lt;Leg_M_2Lt_19_2_MMStack_Pos0.ome.tif;0.4635
2Lt;Leg_M_2Lt_20_1_MMStack_Pos0.ome.tif;0.459
2Lt;Leg_M_2Lt_20_2_MMStack_Pos0.ome.tif;0.457
2Lt_HET_1;Leg_M_2LtHET1_1_1_MMStack_Pos0.ome.tif;0.456
2Lt_HET_1;Leg_M_2LtHET1_1_2_MMStack_Pos0.ome.tif;0.4765
2Lt_HET_1;Leg_M_2LtHET1_2_1_MMStack_Pos0.ome.tif;0.4615
2Lt_HET_1;Leg_M_2LtHET1_2_2_MMStack_Pos0.ome.tif;0.46
2Lt_HET_1;Leg_M_2LtHET1_3_1_MMStack_Pos0.ome.tif;0.465
2Lt_HET_1;Leg_M_2LtHET1_3_2_MMStack_Pos0.ome.tif;0.4735
2Lt_HET_1;Leg_M_2LtHET1_4_1_MMStack_Pos0.ome.tif;0.452
2Lt_HET_1;Leg_M_2LtHET1_4_2_MMStack_Pos0.ome.tif;0.472
2Lt_HET_1;Leg_M_2LtHET1_7_1_MMStack_Pos0.ome.tif;0.4635
2Lt_HET_1;Leg_M_2LtHET1_7_2_MMStack_Pos0.ome.tif;0.4725
2Lt_HET_1;Leg_M_2LtHET1_9_1_MMStack_Pos0.ome.tif;0.4635
2Lt_HET_1;Leg_M_2LtHET1_9_2_MMStack_Pos0.ome.tif;0.4625
2Lt_HET_1;Leg_M_2LtHET1_12_1_MMStack_Pos0.ome.tif;0.456
2Lt_HET_1;Leg_M_2LtHET1_12_2_MMStack_Pos0.ome.tif;0.4645
2Lt_HET_1;Leg_M_2LtHET1_13_1_MMStack_Pos0.ome.tif;0.4615
2Lt_HET_1;Leg_M_2LtHET1_13_2_MMStack_Pos0.ome.tif;0.481
2Lt_HET_1;Leg_M_2LtHET1_14_1_MMStack_Pos0.ome.tif;0.454
2Lt_HET_1;Leg_M_2LtHET1_14_2_MMStack_Pos0.ome.tif;0.467
2Lt_HET_1;Leg_M_2LtHET1_19_1_MMStack_Pos0.ome.tif;0.45
2Lt_HET_1;Leg_M_2LtHET1_19_2_MMStack_Pos0.ome.tif;0.4605
2Lt_HET_1;Leg_M_2LtHET1_20_1_MMStack_Pos0.ome.tif;0.4655
2Lt_HET_1;Leg_M_2LtHET1_20_2_MMStack_Pos0.ome.tif;0.459
2Lt_HET_2;Leg_M_2LtHET2_1_1_MMStack_Pos0.ome.tif;0.461
2Lt_HET_2;Leg_M_2LtHET2_1_2_MMStack_Pos0.ome.tif;0.4625
2Lt_HET_2;Leg_M_2LtHET2_2_1_MMStack_Pos0.ome.tif;0.467
2Lt_HET_2;Leg_M_2LtHET2_2_2_MMStack_Pos0.ome.tif;0.4505
2Lt_HET_2;Leg_M_2LtHET2_4_1_MMStack_Pos0.ome.tif;0.4705
2Lt_HET_2;Leg_M_2LtHET2_4_2_MMStack_Pos0.ome.tif;0.4685
2Lt_HET_2;Leg_M_2LtHET2_7_1_MMStack_Pos0.ome.tif;0.465
2Lt_HET_2;Leg_M_2LtHET2_7_2_MMStack_Pos0.ome.tif;0.4705
2Lt_HET_2;Leg_M_2LtHET2_9_1_MMStack_Pos0.ome.tif;0.4575
2Lt_HET_2;Leg_M_2LtHET2_9_2_MMStack_Pos0.ome.tif;0.4615
2Lt_HET_2;Leg_M_2LtHET2_11_1_MMStack_Pos0.ome.tif;0.472
2Lt_HET_2;Leg_M_2LtHET2_11_2_MMStack_Pos0.ome.tif;0.4765
2Lt_HET_2;Leg_M_2LtHET2_12_1_MMStack_Pos0.ome.tif;0.4605
2Lt_HET_2;Leg_M_2LtHET2_12_2_MMStack_Pos0.ome.tif;0.4495
2Lt_HET_2;Leg_M_2LtHET2_13_1_MMStack_Pos0.ome.tif;0.463
2Lt_HET_2;Leg_M_2LtHET2_13_2_MMStack_Pos0.ome.tif;0.4725
2Lt_HET_2;Leg_M_2LtHET2_19_1_MMStack_Pos0.ome.tif;0.4595
2Lt_HET_2;Leg_M_2LtHET2_19_2_MMStack_Pos0.ome.tif;0.464
2Lt_HET_2;Leg_M_2LtHET2_19_3_MMStack_Pos0.ome.tif;0.4735
2Lt_HET_2;Leg_M_2LtHET2_19_4_MMStack_Pos0.ome.tif;0.4525
2Lt_HET_2;Leg_M_2LtHET2_20_1_MMStack_Pos0.ome.tif;0.4775
2Lt_HET_2;Leg_M_2LtHET2_20_2_MMStack_Pos0.ome.tif;0.465
3RK;Leg_M_3RK_1_1_MMStack_Pos0.ome.tif;0.4675
3RK;Leg_M_3RK_1_2_MMStack_Pos0.ome.tif;0.4735
3RK;Leg_M_3RK_2_1_MMStack_Pos0.ome.tif;0.4775
3RK;Leg_M_3RK_2_2_MMStack_Pos0.ome.tif;0.452
3RK;Leg_M_3RK_3_1_MMStack_Pos0.ome.tif;0.478
3RK;Leg_M_3RK_3_2_MMStack_Pos0.ome.tif;0.464
3RK;Leg_M_3RK_4_1_MMStack_Pos0.ome.tif;0.461
3RK;Leg_M_3RK_4_2_MMStack_Pos0.ome.tif;0.4565
3RK;Leg_M_3RK_9_1_MMStack_Pos0.ome.tif;0.462
3RK;Leg_M_3RK_9_2_MMStack_Pos0.ome.tif;0.4535
3RK;Leg_M_3RK_10_1_MMStack_Pos0.ome.tif;0.4665
3RK;Leg_M_3RK_10_2_MMStack_Pos0.ome.tif;0.479
3RK;Leg_M_3RK_12_1_MMStack_Pos0.ome.tif;0.475
3RK;Leg_M_3RK_12_2_MMStack_Pos0.ome.tif;0.471
3RK;Leg_M_3RK_13_1_MMStack_Pos0.ome.tif;0.4485
3RK;Leg_M_3RK_13_2_MMStack_Pos0.ome.tif;0.458
3RK;Leg_M_3RK_14_1_MMStack_Pos0.ome.tif;0.494
3RK;Leg_M_3RK_14_2_MMStack_Pos0.ome.tif;0.472
3RK;Leg_M_3RK_19_1_MMStack_Pos0.ome.tif;0.46
3RK;Leg_M_3RK_19_2_MMStack_Pos0.ome.tif;0.46
3RK;Leg_M_3RK_20_1_MMStack_Pos0.ome.tif;0.463
3RK;Leg_M_3RK_20_2_MMStack_Pos0.ome.tif;0.466
3RK_HET_1;Leg_M_3RKHET1_1_1_MMStack_Pos0.ome.tif;0.4525
3RK_HET_1;Leg_M_3RKHET1_1_2_MMStack_Pos0.ome.tif;0.466
3RK_HET_1;Leg_M_3RKHET1_2_1_MMStack_Pos0.ome.tif;0.459
3RK_HET_1;Leg_M_3RKHET1_2_2_MMStack_Pos0.ome.tif;0.464
3RK_HET_1;Leg_M_3RKHET1_3_1_MMStack_Pos0.ome.tif;0.4945
3RK_HET_1;Leg_M_3RKHET1_3_2_MMStack_Pos0.ome.tif;0.459
3RK_HET_1;Leg_M_3RKHET1_4_1_MMStack_Pos0.ome.tif;0.464
3RK_HET_1;Leg_M_3RKHET1_7_1_MMStack_Pos0.ome.tif;0.4785
3RK_HET_1;Leg_M_3RKHET1_7_2_MMStack_Pos0.ome.tif;0.472
3RK_HET_1;Leg_M_3RKHET1_9_1_MMStack_Pos0.ome.tif;0.462
3RK_HET_1;Leg_M_3RKHET1_9_2_MMStack_Pos0.ome.tif;0.4755
3RK_HET_1;Leg_M_3RKHET1_12_1_MMStack_Pos0.ome.tif;0.4625
3RK_HET_1;Leg_M_3RKHET1_12_2_MMStack_Pos0.ome.tif;0.4425
3RK_HET_1;Leg_M_3RKHET1_13_1_MMStack_Pos0.ome.tif;0.458
3RK_HET_1;Leg_M_3RKHET1_13_2_MMStack_Pos0.ome.tif;0.4645
3RK_HET_1;Leg_M_3RKHET1_14_1_MMStack_Pos0.ome.tif;0.4665
3RK_HET_1;Leg_M_3RKHET1_14_2_MMStack_Pos0.ome.tif;0.4615
3RK_HET_1;Leg_M_3RKHET1_19_1_MMStack_Pos0.ome.tif;0.473
3RK_HET_1;Leg_M_3RKHET1_19_2_MMStack_Pos0.ome.tif;0.4725
3RK_HET_1;Leg_M_3RKHET1_20_1_MMStack_Pos0.ome.tif;0.475
3RK_HET_1;Leg_M_3RKHET1_20_2_MMStack_Pos0.ome.tif;0.456
3RK_HET_2;Leg_M_3RKHET2_1_1_MMStack_Pos0.ome.tif;0.471
3RK_HET_2;Leg_M_3RKHET2_1_2_MMStack_Pos0.ome.tif;0.4445
3RK_HET_2;Leg_M_3RKHET2_2_1_MMStack_Pos0.ome.tif;0.4495
3RK_HET_2;Leg_M_3RKHET2_2_2_MMStack_Pos0.ome.tif;0.4585
3RK_HET_2;Leg_M_3RKHET2_3_1_MMStack_Pos0.ome.tif;0.4595
3RK_HET_2;Leg_M_3RKHET2_3_2_MMStack_Pos0.ome.tif;0.478
3RK_HET_2;Leg_M_3RKHET2_4_1_MMStack_Pos0.ome.tif;0.4655
3RK_HET_2;Leg_M_3RKHET2_4_2_MMStack_Pos0.ome.tif;0.455
3RK_HET_2;Leg_M_3RKHET2_7_1_MMStack_Pos0.ome.tif;0.472
3RK_HET_2;Leg_M_3RKHET2_7_2_MMStack_Pos0.ome.tif;0.474
3RK_HET_2;Leg_M_3RKHET2_9_1_MMStack_Pos0.ome.tif;0.46
3RK_HET_2;Leg_M_3RKHET2_9_2_MMStack_Pos0.ome.tif;0.4605
3RK_HET_2;Leg_M_3RKHET2_12_1_MMStack_Pos0.ome.tif;0.472
3RK_HET_2;Leg_M_3RKHET2_12_2_MMStack_Pos0.ome.tif;0.485
3RK_HET_2;Leg_M_3RKHET2_13_1_MMStack_Pos0.ome.tif;0.462
3RK_HET_2;Leg_M_3RKHET2_13_2_MMStack_Pos0.ome.tif;0.4585
3RK_HET_2;Leg_M_3RKHET2_14_1_MMStack_Pos0.ome.tif;0.4665
3RK_HET_2;Leg_M_3RKHET2_14_2_MMStack_Pos0.ome.tif;0.4705
3RK_HET_2;Leg_M_3RKHET2_19_1_MMStack_Pos0.ome.tif;0.4585
3RK_HET_2;Leg_M_3RKHET2_19_2_MMStack_Pos0.ome.tif;0.465
3RK_HET_2;Leg_M_3RKHET2_20_1_MMStack_Pos0.ome.tif;0.4535
3RK_HET_2;Leg_M_3RKHET2_20_2_MMStack_Pos0.ome.tif;0.4725
3RP;Leg_M_3RP_1_1_MMStack_Pos0.ome.tif;0.469
3RP;Leg_M_3RP_1_2_MMStack_Pos0.ome.tif;0.474
3RP;Leg_M_3RP_2_1_MMStack_Pos0.ome.tif;0.469
3RP;Leg_M_3RP_2_2_MMStack_Pos0.ome.tif;0.4625
3RP;Leg_M_3RP_3_1_MMStack_Pos0.ome.tif;0.47
3RP;Leg_M_3RP_3_2_MMStack_Pos0.ome.tif;0.4585
3RP;Leg_M_3RP_4_1_MMStack_Pos0.ome.tif;0.4695
3RP;Leg_M_3RP_4_2_MMStack_Pos0.ome.tif;0.4695
3RP;Leg_M_3RP_7_2_MMStack_Pos0.ome.tif;0.46
3RP;Leg_M_3RP_9_1_MMStack_Pos0.ome.tif;0.4495
3RP;Leg_M_3RP_9_2_MMStack_Pos0.ome.tif;0.4585
3RP;Leg_M_3RP_12_1_MMStack_Pos0.ome.tif;0.5085
3RP;Leg_M_3RP_12_2_MMStack_Pos0.ome.tif;0.4575
3RP;Leg_M_3RP_13_1_MMStack_Pos0.ome.tif;0.468
3RP;Leg_M_3RP_13_2_MMStack_Pos0.ome.tif;0.457
3RP;Leg_M_3RP_14_1_MMStack_Pos0.ome.tif;0.4845
3RP;Leg_M_3RP_14_2_MMStack_Pos0.ome.tif;0.4605
3RP;Leg_M_3RP_19_1_MMStack_Pos0.ome.tif;0.468
3RP;Leg_M_3RP_19_2_MMStack_Pos0.ome.tif;0.4535
3RP;Leg_M_3RP_20_1_MMStack_Pos0.ome.tif;0.468
3RP;Leg_M_3RP_20_2_MMStack_Pos0.ome.tif;0.467
3RP_HET_1;Leg_M_3RPHET1_1_1_MMStack_Pos0.ome.tif;0.4525
3RP_HET_1;Leg_M_3RPHET1_1_2_MMStack_Pos0.ome.tif;0.461
3RP_HET_1;Leg_M_3RPHET1_2_1_MMStack_Pos0.ome.tif;0.454
3RP_HET_1;Leg_M_3RPHET1_2_2_MMStack_Pos0.ome.tif;0.4705
3RP_HET_1;Leg_M_3RPHET1_3_1_MMStack_Pos0.ome.tif;0.4585
3RP_HET_1;Leg_M_3RPHET1_3_2_MMStack_Pos0.ome.tif;0.458
3RP_HET_1;Leg_M_3RPHET1_4_1_MMStack_Pos0.ome.tif;0.4595
3RP_HET_1;Leg_M_3RPHET1_4_2_MMStack_Pos0.ome.tif;0.4745
3RP_HET_1;Leg_M_3RPHET1_7_1_MMStack_Pos0.ome.tif;0.4725
3RP_HET_1;Leg_M_3RPHET1_7_2_MMStack_Pos0.ome.tif;0.4605
3RP_HET_1;Leg_M_3RPHET1_9_1_MMStack_Pos0.ome.tif;0.4535
3RP_HET_1;Leg_M_3RPHET1_9_2_MMStack_Pos0.ome.tif;0.4585
3RP_HET_1;Leg_M_3RPHET1_12_1_MMStack_Pos0.ome.tif;0.4545
3RP_HET_1;Leg_M_3RPHET1_12_2_MMStack_Pos0.ome.tif;0.461
3RP_HET_1;Leg_M_3RPHET1_13_1_MMStack_Pos0.ome.tif;0.4635
3RP_HET_1;Leg_M_3RPHET1_13_2_MMStack_Pos0.ome.tif;0.4655
3RP_HET_1;Leg_M_3RPHET1_14_1_MMStack_Pos0.ome.tif;0.474
3RP_HET_1;Leg_M_3RPHET1_14_2_MMStack_Pos0.ome.tif;0.465
3RP_HET_1;Leg_M_3RPHET1_19_1_MMStack_Pos0.ome.tif;0.4565
3RP_HET_1;Leg_M_3RPHET1_19_2_MMStack_Pos0.ome.tif;0.4495
3RP_HET_1;Leg_M_3RPHET1_20_1_MMStack_Pos0.ome.tif;0.4725
3RP_HET_1;Leg_M_3RPHET1_20_2_MMStack_Pos0.ome.tif;0.4615
3RP_HET_2;Leg_M_3RPHET2_1_1_MMStack_Pos0.ome.tif;0.462
3RP_HET_2;Leg_M_3RPHET2_1_2_MMStack_Pos0.ome.tif;0.469
3RP_HET_2;Leg_M_3RPHET2_2_1_MMStack_Pos0.ome.tif;0.4555
3RP_HET_2;Leg_M_3RPHET2_2_2_MMStack_Pos0.ome.tif;0.457
3RP_HET_2;Leg_M_3RPHET2_3_1_MMStack_Pos0.ome.tif;0.463
3RP_HET_2;Leg_M_3RPHET2_3_2_MMStack_Pos0.ome.tif;0.469
3RP_HET_2;Leg_M_3RPHET2_4_1_MMStack_Pos0.ome.tif;0.4735
3RP_HET_2;Leg_M_3RPHET2_4_2_MMStack_Pos0.ome.tif;0.4575
3RP_HET_2;Leg_M_3RPHET2_7_1_MMStack_Pos0.ome.tif;0.457
3RP_HET_2;Leg_M_3RPHET2_7_2_MMStack_Pos0.ome.tif;0.462
3RP_HET_2;Leg_M_3RPHET2_9_1_MMStack_Pos0.ome.tif;0.4715
3RP_HET_2;Leg_M_3RPHET2_9_2_MMStack_Pos0.ome.tif;0.4755
3RP_HET_2;Leg_M_3RPHET2_12_1_MMStack_Pos0.ome.tif;0.462
3RP_HET_2;Leg_M_3RPHET2_12_2_MMStack_Pos0.ome.tif;0.463
3RP_HET_2;Leg_M_3RPHET2_13_1_MMStack_Pos0.ome.tif;0.4795
3RP_HET_2;Leg_M_3RPHET2_13_2_MMStack_Pos0.ome.tif;0.479
3RP_HET_2;Leg_M_3RPHET2_14_1_MMStack_Pos0.ome.tif;0.461
3RP_HET_2;Leg_M_3RPHET2_14_2_MMStack_Pos0.ome.tif;0.4505
3RP_HET_2;Leg_M_3RPHET2_19_1_MMStack_Pos0.ome.tif;0.4715
3RP_HET_2;Leg_M_3RPHET2_19_2_MMStack_Pos0.ome.tif;0.473
3RP_HET_2;Leg_M_3RPHET2_20_1_MMStack_Pos0.ome.tif;0.4695
3RP_HET_2;Leg_M_3RPHET2_20_2_MMStack_Pos0.ome.tif;0.4595
STD;Leg_M_STD_1_1_MMStack_Pos0.ome.tif;0.453
STD;Leg_M_STD_1_2_MMStack_Pos0.ome.tif;0.4505
STD;Leg_M_STD_2_1_MMStack_Pos0.ome.tif;0.4545
STD;Leg_M_STD_2_2_MMStack_Pos0.ome.tif;0.459
STD;Leg_M_STD_3_1_MMStack_Pos0.ome.tif;0.46
STD;Leg_M_STD_3_2_MMStack_Pos0.ome.tif;0.4665
STD;Leg_M_STD_4_1_MMStack_Pos0.ome.tif;0.4675
STD;Leg_M_STD_4_2_MMStack_Pos0.ome.tif;0.4695
STD;Leg_M_STD_7_1_MMStack_Pos0.ome.tif;0.459
STD;Leg_M_STD_7_2_MMStack_Pos0.ome.tif;0.4555
STD;Leg_M_STD_9_1_MMStack_Pos0.ome.tif;0.466
STD;Leg_M_STD_9_2_MMStack_Pos0.ome.tif;0.445
STD;Leg_M_STD_12_1_MMStack_Pos0.ome.tif;0.4745
STD;Leg_M_STD_12_2_MMStack_Pos0.ome.tif;0.473
STD;Leg_M_STD_13_1_MMStack_Pos0.ome.tif;0.454
STD;Leg_M_STD_13_2_MMStack_Pos0.ome.tif;0.4545
STD;Leg_M_STD_14_1_MMStack_Pos0.ome.tif;0.476
STD;Leg_M_STD_14_2_MMStack_Pos0.ome.tif;0.462
STD;Leg_M_STD_19_1_MMStack_Pos0.ome.tif;0.4615
STD;Leg_M_STD_19_2_MMStack_Pos0.ome.tif;0.4575
STD;Leg_M_STD_20_1_MMStack_Pos0.ome.tif;0.4685
STD;Leg_M_STD_20_2_MMStack_Pos0.ome.tif;0.4595
