Karyotype;Label;Average
2Lt;Leg_F_2Lt_1_1_MMStack_Pos0.ome.tif;0.5685
2Lt;Leg_F_2Lt_1_2_MMStack_Pos0.ome.tif;0.5975
2Lt;Leg_F_2Lt_2_1_MMStack_Pos0.ome.tif;0.5845
2Lt;Leg_F_2Lt_2_2_MMStack_Pos0.ome.tif;0.5575
2Lt;Leg_F_2Lt_4_1_MMStack_Pos0.ome.tif;0.576
2Lt;Leg_F_2Lt_4_2_MMStack_Pos0.ome.tif;0.571
2Lt;Leg_F_2Lt_5_1_MMStack_Pos0.ome.tif;0.5425
2Lt;Leg_F_2Lt_5_2_MMStack_Pos0.ome.tif;0.5755
2Lt;Leg_F_2Lt_6_1_MMStack_Pos0.ome.tif;0.5865
2Lt;Leg_F_2Lt_6_2_MMStack_Pos0.ome.tif;0.5715
2Lt;Leg_F_2Lt_7_1_MMStack_Pos0.ome.tif;0.591
2Lt;Leg_F_2Lt_7_2_MMStack_Pos0.ome.tif;0.581
2Lt;Leg_F_2Lt_8_1_MMStack_Pos0.ome.tif;0.573
2Lt;Leg_F_2Lt_8_2_MMStack_Pos0.ome.tif;0.57
2Lt;Leg_F_2Lt_12_1_MMStack_Pos0.ome.tif;0.571
2Lt;Leg_F_2Lt_12_2_MMStack_Pos0.ome.tif;0.5795
2Lt;Leg_F_2Lt_15_1_MMStack_Pos0.ome.tif;0.56
2Lt;Leg_F_2Lt_15_2_MMStack_Pos0.ome.tif;0.5735
2Lt;Leg_F_2Lt_16_1_MMStack_Pos0.ome.tif;0.5655
2Lt;Leg_F_2Lt_16_2_MMStack_Pos0.ome.tif;0.5835
2Lt;Leg_F_2Lt_18_1_MMStack_Pos0.ome.tif;0.5775
2Lt;Leg_F_2Lt_18_2_MMStack_Pos0.ome.tif;0.5755
2Lt_HET_1;Leg_F_2LtHET1_1_1_MMStack_Pos0.ome.tif;0.5845
2Lt_HET_1;Leg_F_2LtHET1_1_2_MMStack_Pos0.ome.tif;0.5615
2Lt_HET_1;Leg_F_2LtHET1_2_1_MMStack_Pos0.ome.tif;0.5855
2Lt_HET_1;Leg_F_2LtHET1_2_2_MMStack_Pos0.ome.tif;0.59
2Lt_HET_1;Leg_F_2LtHET1_4_1_MMStack_Pos0.ome.tif;0.557
2Lt_HET_1;Leg_F_2LtHET1_4_2_MMStack_Pos0.ome.tif;0.582
2Lt_HET_1;Leg_F_2LtHET1_5_1_MMStack_Pos0.ome.tif;0.573
2Lt_HET_1;Leg_F_2LtHET1_5_2_MMStack_Pos0.ome.tif;0.579
2Lt_HET_1;Leg_F_2LtHET1_6_1_MMStack_Pos0.ome.tif;0.5685
2Lt_HET_1;Leg_F_2LtHET1_6_2_MMStack_Pos0.ome.tif;0.573
2Lt_HET_1;Leg_F_2LtHET1_7_1_MMStack_Pos0.ome.tif;0.5655
2Lt_HET_1;Leg_F_2LtHET1_7_2_MMStack_Pos0.ome.tif;0.567
2Lt_HET_1;Leg_F_2LtHET1_8_1_MMStack_Pos0.ome.tif;0.597
2Lt_HET_1;Leg_F_2LtHET1_8_2_MMStack_Pos0.ome.tif;0.5665
2Lt_HET_1;Leg_F_2LtHET1_12_1_MMStack_Pos0.ome.tif;0.577
2Lt_HET_1;Leg_F_2LtHET1_12_2_MMStack_Pos0.ome.tif;0.5725
