Karyotype;Label;Average
2Lt;Leg_M_2Lt_1_1_MMStack_Pos0.ome.tif;0.546
2Lt;Leg_M_2Lt_1_2_MMStack_Pos0.ome.tif;0.529
2Lt;Leg_M_2Lt_2_1_MMStack_Pos0.ome.tif;0.5305
2Lt;Leg_M_2Lt_2_2_MMStack_Pos0.ome.tif;0.5395
2Lt;Leg_M_2Lt_3_1_MMStack_Pos0.ome.tif;0.5255
2Lt;Leg_M_2Lt_3_2_MMStack_Pos0.ome.tif;0.515
2Lt;Leg_M_2Lt_4_1_MMStack_Pos0.ome.tif;0.527
2Lt;Leg_M_2Lt_4_2_MMStack_Pos0.ome.tif;0.5385
2Lt;Leg_M_2Lt_7_1_MMStack_Pos0.ome.tif;0.5355
2Lt;Leg_M_2Lt_7_2_MMStack_Pos0.ome.tif;0.516
2Lt;Leg_M_2Lt_9_1_MMStack_Pos0.ome.tif;0.5375
2Lt;Leg_M_2Lt_9_2_MMStack_Pos0.ome.tif;0.5435
2Lt;Leg_M_2Lt_12_1_MMStack_Pos0.ome.tif;0.547
2Lt;Leg_M_2Lt_12_2_MMStack_Pos0.ome.tif;0.542
2Lt;Leg_M_2Lt_13_1_MMStack_Pos0.ome.tif;0.535
2Lt;Leg_M_2Lt_13_2_MMStack_Pos0.ome.tif;0.5705
2Lt;Leg_M_2Lt_14_1_MMStack_Pos0.ome.tif;0.5575
2Lt;Leg_M_2Lt_14_2_MMStack_Pos0.ome.tif;0.5425
2Lt;Leg_M_2Lt_19_1_MMStack_Pos0.ome.tif;0.541
2Lt;Leg_M_2Lt_19_2_MMStack_Pos0.ome.tif;0.5485
2Lt;Leg_M_2Lt_20_1_MMStack_Pos0.ome.tif;0.5285
2Lt;Leg_M_2Lt_20_2_MMStack_Pos0.ome.tif;0.533
2Lt_HET_1;Leg_M_2LtHET1_1_1_MMStack_Pos0.ome.tif;0.532
2Lt_HET_1;Leg_M_2LtHET1_1_2_MMStack_Pos0.ome.tif;0.57
2Lt_HET_1;Leg_M_2LtHET1_2_1_MMStack_Pos0.ome.tif;0.542
2Lt_HET_1;Leg_M_2LtHET1_2_2_MMStack_Pos0.ome.tif;0.5455
2Lt_HET_1;Leg_M_2LtHET1_3_1_MMStack_Pos0.ome.tif;0.549
2Lt_HET_1;Leg_M_2LtHET1_3_2_MMStack_Pos0.ome.tif;0.544
2Lt_HET_1;Leg_M_2LtHET1_4_1_MMStack_Pos0.ome.tif;0.5505
2Lt_HET_1;Leg_M_2LtHET1_4_2_MMStack_Pos0.ome.tif;0.546
2Lt_HET_1;Leg_M_2LtHET1_7_1_MMStack_Pos0.ome.tif;0.56
2Lt_HET_1;Leg_M_2LtHET1_7_2_MMStack_Pos0.ome.tif;0.5425
2Lt_HET_1;Leg_M_2LtHET1_9_1_MMStack_Pos0.ome.tif;0.543
2Lt_HET_1;Leg_M_2LtHET1_9_2_MMStack_Pos0.ome.tif;0.5355
2Lt_HET_1;Leg_M_2LtHET1_12_1_MMStack_Pos0.ome.tif;0.5265
2Lt_HET_1;Leg_M_2LtHET1_12_2_MMStack_Pos0.ome.tif;0.5335
2Lt_HET_1;Leg_M_2LtHET1_13_1_MMStack_Pos0.ome.tif;0.5395
2Lt_HET_1;Leg_M_2LtHET1_13_2_MMStack_Pos0.ome.tif;0.573
