Karyotype;Label;Average
2Lt;Wing_M_2Lt_1_1_MMStack_Pos0.ome.tif;0.7935
2Lt;Wing_M_2Lt_1_2_MMStack_Pos0.ome.tif;0.76
2Lt;Wing_M_2Lt_2_1_MMStack_Pos0.ome.tif;0.731
2Lt;Wing_M_2Lt_2_2_MMStack_Pos0.ome.tif;0.7575
2Lt;Wing_M_2Lt_3_1_MMStack_Pos0.ome.tif;0.7325
2Lt;Wing_M_2Lt_3_2_MMStack_Pos0.ome.tif;0.721
2Lt;Wing_M_2Lt_4_1_MMStack_Pos0.ome.tif;0.7475
2Lt;Wing_M_2Lt_4_2_MMStack_Pos0.ome.tif;0.722
2Lt;Wing_M_2Lt_7_1_MMStack_Pos0.ome.tif;0.7625
2Lt;Wing_M_2Lt_7_2_MMStack_Pos0.ome.tif;0.814
2Lt;Wing_M_2Lt_9_1_MMStack_Pos0.ome.tif;0.7425
2Lt;Wing_M_2Lt_9_2_MMStack_Pos0.ome.tif;0.754
2Lt;Wing_M_2Lt_12_1_MMStack_Pos0.ome.tif;0.7845
2Lt;Wing_M_2Lt_12_2_MMStack_Pos0.ome.tif;0.7235
2Lt;Wing_M_2Lt_13_1_MMStack_Pos0.ome.tif;0.787
2Lt;Wing_M_2Lt_13_2_MMStack_Pos0.ome.tif;0.784
2Lt;Wing_M_2Lt_14_1_MMStack_Pos0.ome.tif;0.749
2Lt;Wing_M_2Lt_14_2_MMStack_Pos0.ome.tif;0.8045
2Lt;Wing_M_2Lt_19_1_MMStack_Pos0.ome.tif;0.711
2Lt;Wing_M_2Lt_19_2_MMStack_Pos0.ome.tif;0.73
2Lt;Wing_M_2Lt_20_1_MMStack_Pos0.ome.tif;0.744
2Lt;Wing_M_2Lt_20_2_MMStack_Pos0.ome.tif;0.692
2Lt_HET_1;Wing_M_2LtHET1_1_1_MMStack_Pos0.ome.tif;0.7365
2Lt_HET_1;Wing_M_2LtHET1_1_2_MMStack_Pos0.ome.tif;0.8165
2Lt_HET_1;Wing_M_2LtHET1_2_1_MMStack_Pos0.ome.tif;0.7405
2Lt_HET_1;Wing_M_2LtHET1_2_2_MMStack_Pos0.ome.tif;0.765
2Lt_HET_1;Wing_M_2LtHET1_3_1_MMStack_Pos0.ome.tif;0.738
2Lt_HET_1;Wing_M_2LtHET1_3_2_MMStack_Pos0.ome.tif;0.783
2Lt_HET_1;Wing_M_2LtHET1_4_1_MMStack_Pos0.ome.tif;0.739
2Lt_HET_1;Wing_M_2LtHET1_4_2_MMStack_Pos0.ome.tif;0.7485
2Lt_HET_1;Wing_M_2LtHET1_7_1_MMStack_Pos0.ome.tif;0.681
2Lt_HET_1;Wing_M_2LtHET1_7_2_MMStack_Pos0.ome.tif;0.737
2Lt_HET_1;Wing_M_2LtHET1_9_1_MMStack_Pos0.ome.tif;0.7565
2Lt_HET_1;Wing_M_2LtHET1_9_2_MMStack_Pos0.ome.tif;0.7365
2Lt_HET_1;Wing_M_2LtHET1_12_1_MMStack_Pos0.ome.tif;0.77
